"PolyID","imd_rank","imd_national_decile","nation"
"E01000224",8840,3,"England"
"E01000225",15941,5,"England"
"E01000226",6353,2,"England"
"E01000227",23509,7,"England"
"E01000228",17707,6,"England"
"E01000229",8616,3,"England"
"E01000230",16377,5,"England"
"E01000231",12266,4,"England"
"E01000232",16265,5,"England"
"E01000233",23211,7,"England"
"E01000234",19832,6,"England"
"E01000235",11785,4,"England"
"E01000236",11276,4,"England"
"E01000237",13294,4,"England"
"E01000238",13608,5,"England"
"E01000239",10513,4,"England"
"E01000240",10468,4,"England"
"E01000241",18025,6,"England"
"E01000242",19152,6,"England"
"E01000243",11123,4,"England"
"E01000244",11148,4,"England"
"E01000245",7294,3,"England"
"E01000246",26905,8,"England"
"E01000247",21123,7,"England"
"E01000248",23071,7,"England"
"E01000249",31123,10,"England"
"E01000250",19311,6,"England"
"E01000251",11137,4,"England"
"E01000252",18199,6,"England"
"E01000253",30230,9,"England"
"E01000254",28838,9,"England"
"E01000255",13313,4,"England"
"E01000256",19859,6,"England"
"E01000257",12991,4,"England"
"E01000258",22855,7,"England"
"E01000259",17181,6,"England"
"E01000260",12190,4,"England"
"E01000261",28126,9,"England"
"E01000263",32419,10,"England"
"E01000264",12189,4,"England"
"E01000265",13950,5,"England"
"E01000266",32599,10,"England"
"E01000267",23426,7,"England"
"E01000268",10060,3,"England"
"E01000269",22327,7,"England"
"E01000270",22955,7,"England"
"E01000271",28338,9,"England"
"E01000272",32104,10,"England"
"E01000273",15504,5,"England"
"E01000274",15706,5,"England"
"E01000275",27030,9,"England"
"E01000276",33689,10,"England"
"E01000277",16548,5,"England"
"E01000278",33094,10,"England"
"E01000279",31287,10,"England"
"E01000280",33002,10,"England"
"E01000281",22630,7,"England"
"E01000282",26269,8,"England"
"E01000283",33622,10,"England"
"E01000284",16012,5,"England"
"E01000285",19901,6,"England"
"E01000286",12260,4,"England"
"E01000287",12162,4,"England"
"E01000288",21181,7,"England"
"E01000289",6120,2,"England"
"E01000290",15501,5,"England"
"E01000291",14521,5,"England"
"E01000292",24553,8,"England"
"E01000293",25879,8,"England"
"E01000294",18828,6,"England"
"E01000295",22747,7,"England"
"E01000296",16400,5,"England"
"E01000297",18747,6,"England"
"E01000298",16734,5,"England"
"E01000299",12857,4,"England"
"E01000300",22827,7,"England"
"E01000301",29247,9,"England"
"E01000302",12710,4,"England"
"E01000303",30965,10,"England"
"E01000304",21218,7,"England"
"E01000305",8458,3,"England"
"E01000306",12774,4,"England"
"E01000307",7793,3,"England"
"E01000308",13189,4,"England"
"E01000309",14804,5,"England"
"E01000310",7872,3,"England"
"E01000311",15318,5,"England"
"E01000312",8621,3,"England"
"E01000313",6925,3,"England"
"E01000314",15599,5,"England"
"E01000315",7642,3,"England"
"E01000316",12199,4,"England"
"E01000317",20390,7,"England"
"E01000318",22336,7,"England"
"E01000319",27228,9,"England"
"E01000320",23214,7,"England"
"E01000321",17664,6,"England"
"E01000322",16776,5,"England"
"E01000323",11509,4,"England"
"E01000324",21585,7,"England"
"E01000325",31750,10,"England"
"E01000326",23161,7,"England"
"E01000327",29019,9,"England"
"E01000328",26848,8,"England"
"E01000329",19997,6,"England"
"E01000330",18526,6,"England"
"E01000331",11694,4,"England"
"E01000332",21811,7,"England"
"E01000333",9142,3,"England"
"E01000334",21736,7,"England"
"E01000335",12975,4,"England"
"E01000336",7449,3,"England"
"E01000337",12671,4,"England"
"E01000338",15538,5,"England"
"E01000339",20993,7,"England"
"E01000340",27048,9,"England"
"E01000341",27874,9,"England"
"E01000342",27283,9,"England"
"E01000343",26845,8,"England"
"E01000344",28439,9,"England"
"E01000345",30937,10,"England"
"E01000346",28910,9,"England"
"E01000347",24850,8,"England"
"E01000348",33252,10,"England"
"E01000349",31870,10,"England"
"E01000350",31132,10,"England"
"E01000351",29881,9,"England"
"E01000352",19194,6,"England"
"E01000353",32481,10,"England"
"E01000354",18486,6,"England"
"E01000355",31700,10,"England"
"E01000356",28847,9,"England"
"E01000357",33250,10,"England"
"E01000358",30318,9,"England"
"E01000359",31748,10,"England"
"E01000360",13810,5,"England"
"E01000361",28098,9,"England"
"E01000362",20111,6,"England"
"E01000363",28836,9,"England"
"E01000364",28365,9,"England"
"E01000365",22334,7,"England"
"E01000366",25196,8,"England"
"E01000367",9830,3,"England"
"E01000368",8213,3,"England"
"E01000369",25518,8,"England"
"E01000370",24659,8,"England"
"E01000371",26901,8,"England"
"E01000372",9288,3,"England"
"E01000373",10354,4,"England"
"E01000374",6407,2,"England"
"E01000375",18718,6,"England"
